#
# 3-day summary product time series for bartlettir
#
# Site: bartlettir
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 44.0646
# Lon: -71.2881
# Elev: 268
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2018-08-15
# Creation Time: 16:49:40
# Update Date: 2018-11-28
# Update Time: 05:16:59
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90
2008-04-19,2008,110,62,bartlettir_2008_04_19_120541.jpg,115.44886,123.09391,98.49494,0.36522,0.34254,106.22044,9.15512,118.84415,8.24151,92.50816,6.23164,0.37438,0.00404,0.37492,0.37673,0.37932,0.33416,0.00620,0.33386,0.33921,0.34251,57.42530,NA,NA,NA,NA,NA
2008-04-22,2008,113,69,bartlettir_2008_04_22_120541.jpg,101.00399,103.06680,81.17706,0.36132,0.35409,103.50932,12.20977,113.48775,11.39269,86.96257,7.36486,0.37337,0.00466,0.37451,0.37708,0.37805,0.33992,0.01207,0.34382,0.34609,0.34931,58.40166,NA,NA,NA,NA,NA
2008-04-25,2008,116,69,bartlettir_2008_04_25_120541.jpg,111.15833,110.79517,82.88897,0.36345,0.36464,104.80860,7.94420,108.87550,7.89694,79.48816,7.29987,0.37154,0.00516,0.37261,0.37529,0.37706,0.35760,0.00646,0.35738,0.36195,0.36475,59.34849,NA,NA,NA,NA,NA
2008-04-28,2008,119,56,bartlettir_2008_04_28_120038.jpg,80.91857,66.03954,47.31990,0.33992,0.41651,79.34098,12.56378,71.08503,15.33544,49.22748,12.28785,0.35466,0.00976,0.35478,0.36354,0.36701,0.40106,0.02397,0.41033,0.41956,0.43014,60.26053,NA,NA,NA,NA,NA
2008-05-01,2008,122,69,bartlettir_2008_05_01_120036.jpg,94.51824,88.59314,70.22228,0.34971,0.37310,93.49901,10.65849,94.46147,9.34112,68.70072,5.33176,0.36801,0.00567,0.36917,0.37199,0.37399,0.36378,0.00855,0.36325,0.36874,0.37577,61.14404,NA,NA,NA,NA,NA
2008-05-04,2008,125,69,bartlettir_2008_05_04_120538.jpg,82.31829,73.27573,54.33602,0.34905,0.39212,89.60008,10.61082,86.72856,13.84613,61.25203,10.12320,0.36430,0.00824,0.36287,0.36925,0.37667,0.37874,0.01310,0.37515,0.38698,0.40033,61.98692,NA,NA,NA,NA,NA
2008-05-07,2008,128,68,bartlettir_2008_05_07_121037.jpg,105.94755,106.10101,71.25017,0.37452,0.37398,93.82642,11.59459,99.69289,10.22567,64.45596,5.86454,0.38658,0.00737,0.38551,0.39222,0.39561,0.36298,0.00934,0.36521,0.36947,0.37380,62.78991,NA,NA,NA,NA,NA
2008-05-10,2008,131,70,bartlettir_2008_05_10_120537.jpg,90.20006,92.73257,48.92223,0.39996,0.38904,93.72891,4.94743,101.28624,4.41325,53.59518,3.56728,0.40758,0.00726,0.40746,0.41279,0.41732,0.37696,0.00421,0.37605,0.37898,0.38285,63.73704,NA,NA,NA,NA,NA
2008-05-13,2008,134,69,bartlettir_2008_05_13_120540.jpg,92.96522,97.95158,45.85452,0.41370,0.39264,90.98972,5.48708,100.63274,5.60790,45.92108,4.37813,0.42386,0.00888,0.42457,0.42981,0.43649,0.38309,0.00426,0.38300,0.38538,0.38939,64.27658,NA,NA,NA,NA,NA
2008-05-16,2008,137,70,bartlettir_2008_05_16_120039.jpg,81.32675,89.51178,42.87873,0.41883,0.38053,84.25012,7.89886,99.24690,8.97605,40.83644,3.53829,0.44240,0.00575,0.44271,0.44659,0.44876,0.37541,0.00561,0.37629,0.37936,0.38197,64.95268,NA,NA,NA,NA,NA
2008-05-19,2008,140,62,bartlettir_2008_05_19_120545.jpg,81.93449,91.50047,39.68504,0.42934,0.38445,83.97460,8.12407,99.35308,8.40410,37.95785,3.74029,0.44923,0.00634,0.45049,0.45332,0.45625,0.37930,0.00572,0.37949,0.38349,0.38711,65.37755,NA,NA,NA,NA,NA
2008-05-22,2008,143,63,bartlettir_2008_05_22_120047.jpg,84.64885,93.73628,42.00452,0.42532,0.38409,78.50576,8.17607,94.40458,9.16449,35.23201,4.71651,0.45399,0.00857,0.45406,0.45724,0.46139,0.37726,0.00645,0.37774,0.38157,0.38472,66.16912,NA,NA,NA,NA,NA
2008-05-25,2008,146,66,bartlettir_2008_05_25_120554.jpg,85.61331,101.52032,39.25034,0.44844,0.37818,79.66813,7.62977,99.36451,7.30953,36.43378,3.25824,0.46155,0.00830,0.45966,0.46669,0.47494,0.36940,0.00719,0.36811,0.37549,0.37972,66.89176,NA,NA,NA,NA,NA
2008-05-28,2008,149,58,bartlettir_2008_05_28_120558.jpg,80.13588,99.27239,40.61944,0.45118,0.36421,72.22246,6.04572,95.32263,6.82394,36.83788,3.16873,0.46661,0.00678,0.46615,0.47013,0.47517,0.35320,0.00715,0.35428,0.35659,0.36125,67.17731,NA,NA,NA,NA,NA
2008-05-31,2008,152,52,bartlettir_2008_05_31_120557.jpg,69.20731,85.40564,32.41123,0.45666,0.37004,73.51792,9.44689,96.55713,11.05906,36.49022,5.31345,0.46802,0.00835,0.46825,0.47222,0.47556,0.35570,0.00623,0.35522,0.35810,0.36439,67.80104,NA,NA,NA,NA,NA
2008-06-03,2008,155,19,bartlettir_2008_06_03_120603.jpg,77.21184,94.00016,38.13361,0.44902,0.36882,69.61488,9.26661,91.43930,11.80498,34.62653,4.94855,0.46750,0.00813,0.46912,0.47220,0.47432,0.35576,0.00716,0.35617,0.36229,0.36264,67.86156,NA,NA,NA,NA,NA
2008-06-06,2008,158,5,bartlettir_2008_06_06_120104.jpg,63.47093,81.92282,33.00638,0.45921,0.35578,64.68427,2.18652,83.92589,2.65258,33.41676,1.88358,0.46115,0.00332,0.45954,0.46059,0.46484,0.35539,0.00169,0.35512,0.35578,0.35729,68.39150,NA,NA,NA,NA,NA
2008-06-09,2008,161,3,bartlettir_2008_06_10_123610.jpg,66.67286,91.42583,34.87099,0.47378,0.34551,50.80962,11.34614,75.42042,11.38741,30.43539,3.21219,0.48251,0.00723,0.48225,0.48687,0.48964,0.32143,0.01752,0.31447,0.32999,0.33930,66.50875,NA,NA,NA,NA,NA
2008-06-12,2008,164,16,bartlettir_2008_06_12_120114.jpg,76.60017,97.45369,44.43796,0.44603,0.35059,71.57240,6.39621,97.32509,5.74885,41.52268,2.60774,0.46291,0.01029,0.46310,0.47320,0.47436,0.33959,0.01007,0.33901,0.34523,0.34912,68.88367,NA,NA,NA,NA,NA
2008-06-15,2008,167,8,bartlettir_2008_06_14_132117.jpg,65.79547,92.56584,37.47166,0.47268,0.33598,68.01804,7.17977,93.03739,8.37289,38.38542,2.79913,0.46656,0.00438,0.46781,0.46838,0.47050,0.34061,0.00725,0.33967,0.34789,0.34909,68.81338,NA,NA,NA,NA,NA
2008-06-18,2008,170,12,bartlettir_2008_06_18_122019.jpg,66.26114,87.93011,36.91716,0.46011,0.34672,61.12077,8.60043,81.42451,10.68833,34.43462,3.92580,0.46003,0.00644,0.45911,0.46510,0.46872,0.34502,0.00718,0.34454,0.35136,0.35317,68.93534,NA,NA,NA,NA,NA
2008-06-21,2008,173,1,bartlettir_2008_06_20_131540.jpg,55.87352,79.67473,34.18019,0.46942,0.32919,55.87352,0.00000,79.67473,0.00000,34.18019,0.00000,0.46942,0.00000,0.46942,0.46942,0.46942,0.32919,0.00000,0.32919,0.32919,0.32919,62.50790,NA,NA,NA,NA,NA
2008-06-24,2008,176,13,bartlettir_2008_06_24_132545.jpg,50.06854,73.26870,32.32596,0.47069,0.32165,64.99846,11.94370,87.76517,15.45113,36.04087,7.44159,0.46533,0.01380,0.46188,0.47069,0.48613,0.34425,0.00855,0.34311,0.34797,0.34990,69.01931,NA,NA,NA,NA,NA
2008-06-27,2008,179,33,bartlettir_2008_06_27_124049.jpg,74.56641,100.62061,41.68512,0.46396,0.34383,58.57564,6.30783,81.31914,7.60846,33.01545,4.19957,0.47080,0.00731,0.47177,0.47431,0.47903,0.33867,0.00432,0.33879,0.34197,0.34364,68.14669,NA,NA,NA,NA,NA
2008-06-30,2008,182,22,bartlettir_2008_06_30_120050.jpg,69.89114,86.92154,45.68277,0.42925,0.34515,69.22502,7.74634,93.56548,8.54124,40.80657,3.97449,0.45989,0.00868,0.46285,0.46506,0.46767,0.33959,0.00737,0.33799,0.34462,0.34639,68.91520,NA,NA,NA,NA,NA
2008-07-03,2008,185,15,bartlettir_2008_07_03_120555.jpg,65.54157,83.23967,39.50688,0.44209,0.34809,67.51938,10.75569,90.41014,12.29292,39.58747,5.99262,0.45841,0.01197,0.45866,0.46098,0.46704,0.34111,0.00825,0.34295,0.34634,0.34767,68.56015,NA,NA,NA,NA,NA
